Dimension,K,Mean_Degree,CV_Degree
5,20,7.6,0.0205
5,21,7.75,0.0154
5,22,7.85,0.0158
5,23,7.91,0.0169
5,24,7.99,0.0161
5,25,7.99,0.0142
5,26,8.04,0.0137
5,27,8.14,0.0183
5,28,8.06,0.0187
5,29,8.11,0.0145
5,30,8.11,0.0146
5,31,8.09,0.015
5,32,8.06,0.0181
5,33,8.05,0.0156
5,34,8.01,0.0152
5,35,7.98,0.0142
5,36,7.93,0.0129
5,37,7.93,0.0174
5,38,7.88,0.0102
5,39,7.85,0.0152
5,40,7.84,0.017
5,41,7.75,0.0129
5,42,7.72,0.014
5,43,7.67,0.0154
5,44,7.67,0.0156
5,45,7.58,0.0154
5,46,7.56,0.0137
5,47,7.52,0.0141
5,48,7.49,0.0148
5,49,7.41,0.0143
6,1,1.77,0.0383
6,2,3.54,0.0227
6,3,5.25,0.0178
6,4,6.83,0.0218
6,5,8.08,0.0179
6,6,8.87,0.0094
6,7,9.48,0.0126
6,8,9.89,0.0184
6,9,10.06,0.0157
6,10,10.16,0.015
6,11,10.31,0.0139
6,12,10.27,0.0126
6,13,10.25,0.0144
6,14,10.14,0.018
6,15,9.93,0.0187
6,16,9.65,0.0221
6,17,9.58,0.0187
6,18,9.49,0.0156
6,19,9.35,0.0171
6,20,9.29,0.0162
6,21,9.07,0.0147
6,22,8.91,0.0148
6,23,8.73,0.0193
6,24,8.66,0.0151
6,25,8.59,0.0219
6,26,8.45,0.0204
6,27,8.4,0.0233
6,28,8.37,0.0221
6,29,8.35,0.0212
6,30,8.32,0.0193
6,31,8.27,0.0159
6,32,8.33,0.0149
6,33,8.35,0.0204
6,34,8.3,0.0186
6,35,8.28,0.0184
6,36,8.29,0.0153
6,37,8.34,0.0172
6,38,8.3,0.0197
6,39,8.33,0.0168
6,40,8.3,0.0154
6,41,8.31,0.0162
6,42,8.28,0.0183
6,43,8.33,0.0153
6,44,8.3,0.0144
6,45,8.23,0.0132
6,46,8.3,0.0154
6,47,8.25,0.0141
6,48,8.22,0.0123
6,49,8.21,0.0136
7,1,1.78,0.0337
7,2,3.56,0.0214
7,3,5.33,0.0148
7,4,6.99,0.0142
