Dimension,K,Mean_Degree,CV_Degree
22,47,20.5,0.0091
22,48,20.35,0.0088
22,49,20.13,0.007
23,1,1.79,0.0279
23,2,3.58,0.0127
23,3,5.4,0.0
23,4,7.2,0.0
23,5,8.99,0.0018
23,6,10.78,0.0023
23,7,12.5,0.0045
23,8,14.16,0.005
23,9,15.71,0.0059
23,10,17.13,0.0075
23,11,18.41,0.008
23,12,19.54,0.0084
23,13,20.54,0.0066
23,14,21.34,0.0069
23,15,22.16,0.0092
23,16,22.62,0.0077
23,17,23.12,0.0086
23,18,23.54,0.0087
23,19,23.87,0.0091
23,20,24.03,0.0067
23,21,24.26,0.0107
23,22,24.37,0.0099
23,23,24.45,0.0106
23,24,24.56,0.0108
23,25,24.49,0.01
23,26,24.38,0.0094
23,27,24.34,0.0098
23,28,24.27,0.0104
23,29,24.21,0.0098
23,30,24.01,0.009
23,31,23.97,0.0088
23,32,23.84,0.0102
23,33,23.6,0.008
23,34,23.35,0.0084
23,35,23.2,0.011
23,36,23.07,0.0068
23,37,22.87,0.0103
23,38,22.67,0.0084
23,39,22.45,0.009
23,40,22.22,0.0079
23,41,22.04,0.0082
23,42,21.85,0.0085
23,43,21.59,0.0085
23,44,21.41,0.0081
23,45,21.15,0.0077
23,46,21.01,0.0102
23,47,20.77,0.0075
23,48,20.62,0.0077
23,49,20.37,0.0091
24,1,1.78,0.0337
24,2,3.57,0.0179
24,3,5.4,0.0022
24,4,7.2,0.0
24,5,9.0,0.0013
24,6,10.78,0.0021
24,7,12.53,0.0031
24,8,14.22,0.0047
24,9,15.75,0.0063
24,10,17.22,0.0078
24,11,18.5,0.0079
24,12,19.62,0.0081
24,13,20.65,0.0091
24,14,21.42,0.006
24,15,22.21,0.0079
24,16,22.85,0.0103
24,17,23.28,0.0075
24,18,23.82,0.01
24,19,24.11,0.0092
24,20,24.37,0.0096
24,21,24.49,0.0088
24,22,24.76,0.0103
24,23,24.76,0.0094
24,24,24.83,0.0077
24,25,24.81,0.0106
24,26,24.74,0.0118
24,27,24.69,0.0084
24,28,24.62,0.0091
24,29,24.54,0.0083
24,30,24.38,0.0074
24,31,24.2,0.0097
24,32,24.14,0.0083
24,33,23.91,0.0087
24,34,23.74,0.0096
24,35,23.53,0.0094
24,36,23.32,0.0077
24,37,23.18,0.0096
24,38,22.92,0.009
24,39,22.71,0.0096
24,40,22.52,0.0086
24,41,22.31,0.01
24,42,22.11,0.0093
24,43,21.89,0.0087
24,44,21.66,0.0089
24,45,21.53,0.0074
24,46,21.28,0.0077
24,47,21.05,0.0086
24,48,20.79,0.0078
24,49,20.69,0.0083
25,1,1.78,0.0337
25,2,3.56,0.017
25,3,5.4,0.0
25,4,7.2,0.0
25,5,9.0,0.0013
25,6,10.78,0.0023
25,7,12.54,0.0022
25,8,14.22,0.0045
25,9,15.81,0.006
25,10,17.22,0.0059
25,11,18.6,0.0063
25,12,19.75,0.0066
25,13,20.75,0.0068
25,14,21.63,0.0094
25,15,22.39,0.0072
25,16,23.07,0.0105
25,17,23.57,0.0088
25,18,23.99,0.0089
25,19,24.32,0.0089
25,20,24.64,0.0097
25,21,24.69,0.0087
25,22,24.96,0.0108
25,23,25.0,0.0087
25,24,25.13,0.0118
25,25,25.06,0.0086
25,26,25.01,0.0085
25,27,24.95,0.0089
25,28,24.84,0.0101
25,29,24.76,0.0116
25,30,24.74,0.0104
25,31,24.5,0.0086
25,32,24.31,0.0089
25,33,24.19,0.0101
25,34,24.03,0.0096
25,35,23.86,0.0085
25,36,23.62,0.0073
25,37,23.42,0.0086
25,38,23.06,0.0094
25,39,23.11,0.0079
25,40,22.87,0.007
25,41,22.64,0.0072
25,42,22.28,0.0073
25,43,22.13,0.0087
25,44,21.96,0.0096
25,45,21.81,0.0078
25,46,21.54,0.008
25,47,21.28,0.0087
25,48,21.11,0.0077
25,49,20.88,0.01
26,1,1.79,0.02
26,2,3.57,0.0164
26,3,5.4,0.0
26,4,7.2,0.0
26,5,9.0,0.0013
26,6,10.78,0.0024
26,7,12.53,0.0033
26,8,14.22,0.0046
26,9,15.82,0.0043
26,10,17.3,0.0059
26,11,18.57,0.0064
26,12,19.82,0.0105
26,13,20.87,0.0067
26,14,21.84,0.0073
26,15,22.52,0.0075
26,16,23.2,0.008
26,17,23.78,0.008
26,18,24.2,0.009
26,19,24.63,0.0078
26,20,24.83,0.009
26,21,25.02,0.0078
26,22,25.16,0.0108
26,23,25.33,0.0096
26,24,25.31,0.0084
26,25,25.31,0.0093
26,26,25.3,0.0091
26,27,25.27,0.0071
26,28,25.18,0.01
26,29,25.05,0.0092
26,30,24.92,0.0111
26,31,24.81,0.0126
26,32,24.6,0.0089
26,33,24.38,0.0089
26,34,24.24,0.0078
26,35,24.07,0.0092
26,36,23.96,0.01
26,37,23.65,0.0093
26,38,23.53,0.0086
26,39,23.33,0.0084
26,40,23.02,0.01
26,41,22.85,0.0072
26,42,22.6,0.0073
26,43,22.43,0.0086
26,44,22.27,0.009
26,45,21.99,0.0084
26,46,21.75,0.0064
26,47,21.62,0.009
26,48,21.32,0.0084
26,49,21.14,0.0089
27,1,1.77,0.0383
27,2,3.58,0.0104
27,3,5.4,0.0
27,4,7.2,0.0
27,5,9.0,0.0013
27,6,10.78,0.0023
27,7,12.54,0.0034
27,8,14.23,0.0041
27,9,15.8,0.0067
27,10,17.34,0.006
27,11,18.68,0.0082
27,12,19.95,0.006
27,13,20.97,0.0085
27,14,21.96,0.0094
27,15,22.68,0.0069
27,16,23.41,0.0067
27,17,23.95,0.0081
27,18,24.43,0.0093
27,19,24.78,0.008
27,20,25.0,0.0085
27,21,25.32,0.0095
27,22,25.48,0.0078
27,23,25.57,0.0081
27,24,25.55,0.0081
27,25,25.62,0.0096
27,26,25.55,0.0085
27,27,25.49,0.0089
27,28,25.39,0.0101
27,29,25.28,0.0093
27,30,25.3,0.0068
27,31,25.08,0.0105
27,32,24.86,0.007
27,33,24.74,0.0079
27,34,24.56,0.0068
27,35,24.32,0.0065
27,36,24.17,0.0091
27,37,23.9,0.0085
27,38,23.77,0.008
27,39,23.46,0.0099
27,40,23.3,0.0083
27,41,23.07,0.0084
27,42,22.86,0.0074
27,43,22.66,0.0088
27,44,22.39,0.0092
27,45,22.19,0.007
27,46,22.04,0.0074
27,47,21.77,0.0079
27,48,21.52,0.006
27,49,21.33,0.0093
28,1,1.79,0.0279
28,2,3.59,0.0095
28,3,5.4,0.0
28,4,7.2,0.0
28,5,9.0,0.0008
28,6,10.78,0.0021
28,7,12.55,0.0026
28,8,14.24,0.0047
28,9,15.87,0.0054
28,10,17.39,0.0046
28,11,18.73,0.0061
28,12,19.94,0.0083
28,13,21.13,0.0072
28,14,22.05,0.0068
28,15,22.83,0.0076
28,16,23.49,0.0067
28,17,24.16,0.0081
28,18,24.55,0.009
28,19,24.89,0.0085
28,20,25.31,0.0083
28,21,25.44,0.0087
28,22,25.59,0.0091
28,23,25.65,0.0084
28,24,25.79,0.0079
28,25,25.83,0.0092
28,26,25.8,0.0082
28,27,25.7,0.0062
28,28,25.69,0.0096
28,29,25.54,0.0099
28,30,25.46,0.0097
28,31,25.28,0.0068
28,32,25.08,0.01
28,33,25.03,0.0072
28,34,24.81,0.0073
28,35,24.54,0.0109
28,36,24.34,0.0086
28,37,24.21,0.0082
28,38,24.0,0.0071
28,39,23.74,0.008
28,40,23.51,0.0077
28,41,23.32,0.0084
28,42,23.07,0.0073
28,43,22.89,0.0093
28,44,22.64,0.0074
28,45,22.37,0.0097
28,46,22.21,0.0059
28,47,22.0,0.0093
28,48,21.77,0.0084
28,49,21.55,0.0093
29,1,1.8,0.0
29,2,3.6,0.0
29,3,5.4,0.0
29,4,7.2,0.0
29,5,9.0,0.0
29,6,10.79,0.0015
29,7,12.55,0.0026
29,8,14.27,0.0034
29,9,15.88,0.0055
29,10,17.43,0.0056
29,11,18.82,0.0056
29,12,20.05,0.0072
29,13,21.12,0.0076
29,14,22.11,0.0071
29,15,22.98,0.0077
29,16,23.69,0.0089
29,17,24.23,0.0081
29,18,24.78,0.0074
29,19,25.09,0.0071
29,20,25.43,0.0087
29,21,25.63,0.0092
29,22,25.84,0.0066
29,23,25.95,0.0101
29,24,26.01,0.0103
29,25,25.99,0.0083
29,26,26.02,0.0083
29,27,26.0,0.0073
29,28,25.86,0.0079
29,29,25.75,0.0085
29,30,25.71,0.0072
29,31,25.54,0.0088
29,32,25.36,0.0074
29,33,25.17,0.0071
29,34,24.99,0.0085
29,35,24.79,0.0089
29,36,24.61,0.0074
29,37,24.41,0.009
29,38,24.2,0.0111
29,39,23.96,0.009
29,40,23.73,0.0068
29,41,23.58,0.007
29,42,23.32,0.0085
29,43,23.03,0.0081
29,44,22.84,0.0085
29,45,22.55,0.009
29,46,22.32,0.0069
29,47,22.13,0.0092
29,48,21.99,0.0082
29,49,21.81,0.0071
30,1,1.78,0.0337
30,2,3.58,0.0139
30,3,5.4,0.0
30,4,7.2,0.0
30,5,9.0,0.0
30,6,10.79,0.0024
30,7,12.56,0.0021
30,8,14.29,0.0036
30,9,15.92,0.0065
30,10,17.45,0.0048
30,11,18.87,0.0054
30,12,20.11,0.0066
30,13,21.3,0.0057
30,14,22.22,0.009
30,15,23.05,0.0098
30,16,23.77,0.0073
30,17,24.37,0.0074
30,18,24.81,0.0071
30,19,25.33,0.0085
30,20,25.67,0.007
30,21,25.9,0.0095
30,22,26.07,0.009
30,23,26.17,0.0091
30,24,26.24,0.0078
30,25,26.28,0.0083
30,26,26.3,0.0086
30,27,26.19,0.0091
30,28,26.12,0.0081
30,29,25.98,0.007
30,30,25.89,0.007
30,31,25.67,0.011
30,32,25.59,0.0082
30,33,25.4,0.0078
30,34,25.19,0.0078
30,35,25.02,0.007
30,36,24.84,0.0087
30,37,24.61,0.0083
30,38,24.4,0.0097
30,39,24.19,0.0082
30,40,23.94,0.0077
30,41,23.72,0.0091
30,42,23.49,0.0072
30,43,23.23,0.0098
30,44,23.07,0.0092
30,45,22.82,0.0071
30,46,22.56,0.0092
30,47,22.36,0.0098
30,48,22.17,0.0078
30,49,21.89,0.0076
31,1,1.77,0.0383
31,2,3.57,0.016
31,3,5.4,0.0
31,4,7.2,0.0
31,5,9.0,0.0008
31,6,10.79,0.0016
31,7,12.56,0.0022
31,8,14.28,0.0036
31,9,15.92,0.0046
31,10,17.49,0.0038
31,11,18.87,0.0067
31,12,20.18,0.0061
31,13,21.36,0.0067
31,14,22.29,0.0073
31,15,23.18,0.0081
31,16,23.87,0.0068
31,17,24.55,0.0082
31,18,25.09,0.0075
31,19,25.4,0.0074
31,20,25.83,0.0081
31,21,26.04,0.0095
31,22,26.25,0.0074
31,23,26.42,0.0083
31,24,26.39,0.0095
31,25,26.41,0.0073
31,26,26.4,0.0103
31,27,26.37,0.0111
31,28,26.3,0.0064
31,29,26.22,0.0091
31,30,26.05,0.007
31,31,25.96,0.0089
31,32,25.83,0.0081
31,33,25.63,0.0088
31,34,25.36,0.0075
31,35,25.18,0.0069
31,36,25.03,0.0069
31,37,24.78,0.0052
31,38,24.61,0.0094
31,39,24.4,0.0108
31,40,24.2,0.0095
31,41,23.95,0.0083
31,42,23.67,0.0086
31,43,23.43,0.0078
31,44,23.17,0.0081
31,45,23.05,0.0082
31,46,22.71,0.007
31,47,22.55,0.0085
31,48,22.32,0.0071
31,49,22.1,0.0073
32,1,1.79,0.0279
32,2,3.58,0.0133
32,3,5.4,0.0
32,4,7.2,0.0
32,5,9.0,0.0
32,6,10.79,0.0014
32,7,12.56,0.0026
32,8,14.3,0.003
32,9,15.96,0.0027
32,10,17.47,0.0048
32,11,18.93,0.0055
32,12,20.21,0.0056
32,13,21.36,0.0094
32,14,22.43,0.008
32,15,23.27,0.0076
32,16,24.05,0.0087
32,17,24.62,0.0087
32,18,25.18,0.0066
32,19,25.59,0.0083
32,20,26.0,0.0096
32,21,26.26,0.0099
32,22,26.4,0.0081
32,23,26.49,0.0081
32,24,26.57,0.0091
32,25,26.62,0.0088
32,26,26.67,0.0093
32,27,26.55,0.0068
32,28,26.45,0.0089
32,29,26.38,0.0088
32,30,26.27,0.0089
32,31,26.15,0.0085
32,32,25.97,0.0075
32,33,25.79,0.0076
32,34,25.55,0.0091
32,35,25.39,0.0087
32,36,25.21,0.012
32,37,24.99,0.0064
32,38,24.83,0.0088
32,39,24.47,0.0091
32,40,24.34,0.0081
32,41,24.11,0.0051
32,42,23.84,0.009
32,43,23.65,0.0079
32,44,23.43,0.0078
32,45,23.17,0.0079
32,46,22.96,0.008
32,47,22.71,0.0074
32,48,22.46,0.0081
32,49,22.2,0.0063
33,1,1.77,0.0422
33,2,3.58,0.0133
33,3,5.4,0.0
33,4,7.2,0.0
33,5,9.0,0.0008
33,6,10.8,0.001
33,7,12.56,0.0021
33,8,14.28,0.0041
33,9,15.96,0.004
33,10,17.53,0.0059
33,11,18.94,0.0057
33,12,20.23,0.0061
33,13,21.44,0.0077
33,14,22.42,0.0076
33,15,23.32,0.0079
33,16,24.1,0.0086
33,17,24.67,0.0079
33,18,25.36,0.0063
33,19,25.78,0.0072
33,20,26.04,0.0071
33,21,26.38,0.0082
33,22,26.58,0.0088
33,23,26.66,0.0089
33,24,26.78,0.009
33,25,26.8,0.0098
33,26,26.8,0.0097
33,27,26.71,0.0079
33,28,26.74,0.0102
33,29,26.54,0.0078
33,30,26.56,0.0081
33,31,26.18,0.009
33,32,26.17,0.0077
33,33,25.91,0.0078
33,34,25.81,0.0092
33,35,25.57,0.0077
33,36,25.32,0.0074
33,37,25.16,0.0067
33,38,24.94,0.0087
33,39,24.69,0.0075
33,40,24.53,0.0082
33,41,24.25,0.0088
33,42,24.06,0.0073
33,43,23.83,0.0074
33,44,23.55,0.0072
33,45,23.37,0.0065
33,46,23.06,0.0069
33,47,22.87,0.0067
33,48,22.64,0.007
33,49,22.36,0.0082
34,1,1.79,0.02
34,2,3.57,0.0143
34,3,5.4,0.0
34,4,7.2,0.0012
34,5,9.0,0.0
34,6,10.79,0.002
34,7,12.56,0.0023
34,8,14.31,0.0029
34,9,15.98,0.0048
34,10,17.5,0.0059
34,11,18.98,0.0062
34,12,20.3,0.0063
34,13,21.5,0.0069
34,14,22.62,0.0063
34,15,23.44,0.0071
34,16,24.28,0.0077
34,17,24.88,0.0065
34,18,25.41,0.0069
34,19,25.87,0.007
34,20,26.26,0.0075
34,21,26.41,0.0071
34,22,26.73,0.0084
34,23,26.87,0.0079
34,24,26.88,0.007
34,25,26.95,0.0084
34,26,26.99,0.0082
34,27,26.94,0.008
34,28,26.81,0.0058
34,29,26.81,0.0092
34,30,26.7,0.0093
34,31,26.48,0.0102
34,32,26.31,0.0088
34,33,26.14,0.0082
34,34,26.04,0.0073
34,35,25.81,0.0079
34,36,25.63,0.0063
34,37,25.4,0.0077
34,38,25.17,0.0075
34,39,24.85,0.0082
34,40,24.65,0.0076
34,41,24.42,0.0061
34,42,24.13,0.0076
34,43,24.02,0.0073
34,44,23.67,0.0089
34,45,23.49,0.0072
34,46,23.22,0.0076
34,47,22.95,0.0088
34,48,22.77,0.0064
34,49,22.55,0.009
35,1,1.78,0.0337
35,2,3.58,0.0168
35,3,5.4,0.0
35,4,7.2,0.0
35,5,9.0,0.0008
35,6,10.8,0.0017
35,7,12.57,0.0016
35,8,14.31,0.0034
35,9,16.0,0.0041
35,10,17.55,0.0062
35,11,19.01,0.0059
35,12,20.38,0.0056
35,13,21.55,0.0066
35,14,22.58,0.0075
35,15,23.55,0.0086
35,16,24.38,0.0078
35,17,25.03,0.0095
35,18,25.58,0.0079
35,19,26.0,0.0078
35,20,26.35,0.008
35,21,26.72,0.009
35,22,26.83,0.0088
35,23,27.05,0.0082
35,24,27.15,0.0086
35,25,27.12,0.0065
35,26,27.17,0.0066
35,27,27.03,0.0108
35,28,27.04,0.0093
35,29,26.99,0.0085
35,30,26.79,0.0091
35,31,26.7,0.0072
35,32,26.58,0.0082
35,33,26.31,0.011
35,34,26.14,0.0078
35,35,25.9,0.0096
35,36,25.7,0.0081
35,37,25.48,0.0083
35,38,25.35,0.0064
35,39,25.05,0.0084
35,40,24.74,0.0079
35,41,24.53,0.0081
35,42,24.28,0.0087
35,43,24.05,0.0072
35,44,23.83,0.0067
35,45,23.61,0.0088
35,46,23.41,0.0063
35,47,23.19,0.0083
35,48,22.92,0.0077
35,49,22.6,0.0093
36,1,1.75,0.0565
36,2,3.57,0.0167
36,3,5.4,0.0
36,4,7.2,0.0
36,5,9.0,0.0
36,6,10.79,0.0012
36,7,12.57,0.0021
36,8,14.32,0.0024
36,9,15.99,0.0036
36,10,17.54,0.0057
36,11,19.1,0.0052
36,12,20.39,0.0061
36,13,21.63,0.0059
36,14,22.69,0.0077
36,15,23.64,0.0092
36,16,24.41,0.008
36,17,25.1,0.0081
36,18,25.68,0.0088
36,19,26.09,0.0061
36,20,26.53,0.0103
36,21,26.86,0.0094
36,22,27.01,0.0084
36,23,27.11,0.0085
36,24,27.19,0.0085
36,25,27.39,0.0076
36,26,27.31,0.0081
36,27,27.31,0.0087
36,28,27.18,0.0092
36,29,27.03,0.0074
36,30,27.02,0.0081
36,31,26.79,0.0072
36,32,26.64,0.0094
36,33,26.56,0.0086
36,34,26.28,0.0089
36,35,26.1,0.0078
36,36,25.91,0.008
36,37,25.64,0.0083
36,38,25.42,0.008
36,39,25.18,0.0087
36,40,24.91,0.0078
36,41,24.71,0.0083
36,42,24.5,0.0087
36,43,24.2,0.0073
36,44,23.99,0.0089
36,45,23.71,0.0076
36,46,23.5,0.0074
36,47,23.32,0.0068
36,48,23.04,0.0061
36,49,22.77,0.0073
37,1,1.77,0.0383
37,2,3.58,0.0156
37,3,5.4,0.0
37,4,7.2,0.0
37,5,9.0,0.0
37,6,10.8,0.0
37,7,12.57,0.0018
37,8,14.33,0.0029
37,9,16.02,0.0033
37,10,17.61,0.0045
37,11,19.1,0.0047
37,12,20.45,0.007
37,13,21.67,0.006
37,14,22.75,0.0077
37,15,23.71,0.0067
37,16,24.53,0.0069
37,17,25.19,0.0075
37,18,25.8,0.0083
37,19,26.2,0.0076
37,20,26.59,0.0095
37,21,26.98,0.0099
37,22,27.17,0.0078
37,23,27.32,0.0082
37,24,27.43,0.0085
37,25,27.55,0.0091
37,26,27.38,0.0097
37,27,27.38,0.0073
37,28,27.38,0.0084
37,29,27.28,0.0081
37,30,27.23,0.0071
37,31,26.96,0.0091
37,32,26.82,0.0078
37,33,26.61,0.0074
37,34,26.42,0.0085
37,35,26.25,0.0074
37,36,26.02,0.0078
37,37,25.83,0.0078
37,38,25.61,0.0082
37,39,25.31,0.0077
37,40,25.05,0.009
37,41,24.81,0.0073
37,42,24.57,0.009
37,43,24.36,0.0073
37,44,24.12,0.0074
37,45,23.91,0.0065
37,46,23.64,0.0083
37,47,23.4,0.0071
37,48,23.17,0.007
37,49,22.9,0.0066
38,1,1.79,0.0279
38,2,3.58,0.0187
38,3,5.4,0.0
38,4,7.2,0.0
38,5,9.0,0.0008
38,6,10.8,0.0008
38,7,12.58,0.0019
38,8,14.32,0.0027
38,9,16.02,0.004
38,10,17.65,0.0045
38,11,19.14,0.0048
38,12,20.52,0.0057
38,13,21.7,0.0076
38,14,22.82,0.007
38,15,23.79,0.0072
38,16,24.58,0.0083
38,17,25.34,0.0083
38,18,25.96,0.0064
38,19,26.32,0.007
38,20,26.69,0.008
38,21,27.07,0.0073
38,22,27.3,0.0097
38,23,27.45,0.0095
38,24,27.46,0.0088
38,25,27.54,0.0077
38,26,27.55,0.0066
38,27,27.56,0.0072
38,28,27.49,0.0078
38,29,27.4,0.0084
38,30,27.22,0.0067
38,31,27.13,0.008
38,32,26.96,0.0081
38,33,26.77,0.0078
38,34,26.58,0.009
38,35,26.33,0.0091
38,36,26.18,0.0081
38,37,25.93,0.009
38,38,25.69,0.0098
38,39,25.39,0.0074
38,40,25.27,0.009
38,41,25.01,0.0088
38,42,24.72,0.0075
38,43,24.52,0.008
38,44,24.28,0.0086
38,45,23.99,0.0085
38,46,23.76,0.0089
38,47,23.49,0.0081
38,48,23.22,0.0092
38,49,23.04,0.006
39,1,1.78,0.0337
39,2,3.57,0.016
39,3,5.4,0.0
39,4,7.2,0.0
39,5,9.0,0.0
39,6,10.8,0.001
39,7,12.58,0.0015
39,8,14.33,0.0029
39,9,16.03,0.0035
39,10,17.61,0.0041
39,11,19.12,0.0052
39,12,20.51,0.0069
39,13,21.78,0.0074
39,14,22.88,0.0075
39,15,23.84,0.0083
39,16,24.64,0.0063
39,17,25.39,0.0084
39,18,25.9,0.0076
39,19,26.43,0.0094
39,20,26.87,0.0061
39,21,27.12,0.0086
39,22,27.37,0.0083
39,23,27.55,0.0093
39,24,27.69,0.0077
39,25,27.7,0.0104
39,26,27.7,0.0081
39,27,27.64,0.0079
39,28,27.63,0.008
39,29,27.47,0.0074
39,30,27.45,0.0092
39,31,27.19,0.0068
39,32,27.11,0.0079
39,33,26.9,0.0069
39,34,26.7,0.0072
39,35,26.56,0.0071
39,36,26.26,0.0072
39,37,26.03,0.0075
39,38,25.82,0.0057
39,39,25.55,0.0097
39,40,25.38,0.0068
39,41,25.09,0.0065
39,42,24.84,0.0067
39,43,24.59,0.0088
39,44,24.4,0.0087
39,45,24.07,0.0083
39,46,23.86,0.0091
39,47,23.66,0.0068
39,48,23.39,0.0059
39,49,23.15,0.0069
40,1,1.77,0.0383
40,2,3.58,0.0104
40,3,5.4,0.0
40,4,7.2,0.0
40,5,9.0,0.0
40,6,10.8,0.0008
40,7,12.58,0.002
40,8,14.33,0.003
40,9,16.06,0.0031
40,10,17.63,0.0055
40,11,19.18,0.0039
40,12,20.54,0.0061
40,13,21.83,0.0069
40,14,22.91,0.0073
40,15,23.86,0.0069
40,16,24.75,0.0079
40,17,25.42,0.0084
40,18,26.06,0.0076
40,19,26.52,0.0086
40,20,27.04,0.0093
40,21,27.31,0.0082
40,22,27.49,0.0088
40,23,27.7,0.0078
40,24,27.72,0.0074
40,25,27.95,0.0091
40,26,27.92,0.0085
40,27,27.9,0.0078
40,28,27.8,0.0085
40,29,27.71,0.0079
40,30,27.56,0.0092
40,31,27.34,0.0079
40,32,27.21,0.0067
40,33,27.04,0.0063
40,34,26.87,0.0064
40,35,26.63,0.0067
40,36,26.36,0.0081
40,37,26.22,0.0078
40,38,25.96,0.0092
40,39,25.74,0.0072
40,40,25.45,0.0068
40,41,25.17,0.0078
40,42,24.99,0.0081
40,43,24.7,0.0067
40,44,24.56,0.0071
40,45,24.18,0.0076
40,46,24.02,0.0072
40,47,23.77,0.0075
40,48,23.47,0.005
40,49,23.25,0.0081
41,1,1.77,0.0383
41,2,3.56,0.0153
41,3,5.4,0.0
41,4,7.2,0.0
41,5,9.0,0.0
41,6,10.8,0.0006
41,7,12.6,0.0008
41,8,14.33,0.0033
41,9,16.03,0.0036
41,10,17.68,0.0049
41,11,19.18,0.0054
41,12,20.61,0.0063
41,13,21.8,0.0061
41,14,22.98,0.0063
41,15,23.99,0.0054
41,16,24.86,0.0072
41,17,25.55,0.0087
41,18,26.22,0.0081
41,19,26.67,0.0067
41,20,27.15,0.0076
41,21,27.42,0.0078
41,22,27.63,0.0089
41,23,27.81,0.0089
41,24,27.94,0.0081
41,25,27.93,0.0079
41,26,27.95,0.0077
41,27,27.94,0.0081
41,28,27.83,0.0085
41,29,27.77,0.0089
41,30,27.64,0.0081
41,31,27.51,0.0084
41,32,27.38,0.0072
41,33,27.21,0.0092
41,34,26.93,0.0088
41,35,26.81,0.0081
41,36,26.52,0.0071
41,37,26.3,0.0081
41,38,26.04,0.0085
41,39,25.87,0.0074
41,40,25.62,0.0063
41,41,25.37,0.0084
41,42,25.13,0.0079
41,43,24.82,0.0086
41,44,24.61,0.0075
41,45,24.34,0.0086
41,46,24.12,0.0082
41,47,23.88,0.0092
41,48,23.64,0.0071
41,49,23.29,0.0072
42,1,1.76,0.0541
42,2,3.55,0.0227
42,3,5.4,0.0
42,4,7.2,0.0
42,5,9.0,0.0
42,6,10.8,0.0008
42,7,12.58,0.0021
42,8,14.35,0.0025
42,9,16.05,0.0036
42,10,17.68,0.0041
42,11,19.22,0.0045
42,12,20.63,0.0045
42,13,21.91,0.0074
42,14,23.02,0.0078
42,15,24.0,0.0069
42,16,24.81,0.0086
42,17,25.62,0.0088
42,18,26.26,0.0077
42,19,26.71,0.0071
42,20,27.07,0.0082
42,21,27.47,0.01
42,22,27.68,0.0074
42,23,27.87,0.0087
42,24,28.0,0.0063
42,25,28.08,0.0072
42,26,28.05,0.0103
42,27,28.1,0.008
42,28,27.97,0.008
42,29,27.98,0.0087
42,30,27.79,0.009
42,31,27.67,0.0082
42,32,27.52,0.0079
42,33,27.27,0.0069
42,34,27.12,0.0074
42,35,26.81,0.0076
42,36,26.71,0.0087
42,37,26.42,0.0077
42,38,26.21,0.0094
42,39,25.91,0.0079
42,40,25.63,0.0074
42,41,25.44,0.0089
42,42,25.2,0.0065
42,43,24.95,0.0081
42,44,24.65,0.0079
42,45,24.45,0.0087
42,46,24.23,0.0067
42,47,23.92,0.0063
42,48,23.69,0.008
42,49,23.41,0.0061
43,1,1.77,0.0383
43,2,3.57,0.0209
43,3,5.4,0.0
43,4,7.2,0.0
43,5,9.0,0.0
43,6,10.8,0.0006
43,7,12.59,0.0014
43,8,14.35,0.0025
43,9,16.06,0.0035
43,10,17.7,0.0045
43,11,19.22,0.006
43,12,20.64,0.0072
43,13,21.92,0.0056
43,14,23.09,0.0066
43,15,24.06,0.0082
43,16,24.93,0.0062
43,17,25.72,0.0075
43,18,26.33,0.0085
43,19,26.84,0.0085
43,20,27.21,0.0056
43,21,27.54,0.0084
43,22,27.78,0.0088
43,23,27.97,0.0076
43,24,28.04,0.0065
43,25,28.25,0.008
43,26,28.21,0.0092
43,27,28.2,0.0072
43,28,28.15,0.0086
43,29,28.04,0.0083
43,30,27.9,0.0091
43,31,27.78,0.0081
43,32,27.54,0.0086
43,33,27.47,0.0083
43,34,27.22,0.0069
43,35,27.01,0.0084
43,36,26.75,0.008
43,37,26.51,0.0082
43,38,26.3,0.0076
43,39,26.14,0.0088
43,40,25.75,0.0072
43,41,25.58,0.0081
43,42,25.26,0.0062
43,43,25.03,0.0065
43,44,24.78,0.0085
43,45,24.55,0.0081
43,46,24.28,0.0073
43,47,24.07,0.0063
43,48,23.75,0.0076
43,49,23.51,0.0069
44,1,1.78,0.0337
44,2,3.56,0.0214
44,3,5.4,0.0
44,4,7.2,0.0
44,5,9.0,0.0
44,6,10.79,0.0014
44,7,12.58,0.0017
44,8,14.36,0.0023
44,9,16.05,0.0035
44,10,17.72,0.0046
44,11,19.25,0.0046
44,12,20.65,0.005
44,13,21.99,0.0046
44,14,23.12,0.0063
44,15,24.11,0.0068
44,16,25.02,0.0086
44,17,25.72,0.0088
44,18,26.42,0.0066
44,19,26.92,0.0079
44,20,27.39,0.0086
44,21,27.7,0.0084
44,22,27.99,0.0079
44,23,28.11,0.0088
44,24,28.26,0.0061
44,25,28.34,0.0076
44,26,28.39,0.0092
44,27,28.23,0.0093
44,28,28.26,0.0074
44,29,28.08,0.0079
44,30,27.98,0.0055
44,31,27.9,0.0074
44,32,27.69,0.0102
44,33,27.54,0.0077
44,34,27.24,0.0078
44,35,27.15,0.0076
44,36,26.8,0.0085
44,37,26.64,0.0069
44,38,26.43,0.0083
44,39,26.18,0.0079
44,40,25.96,0.0071
44,41,25.64,0.0068
44,42,25.44,0.0068
44,43,25.14,0.0075
44,44,24.87,0.0077
44,45,24.62,0.0068
44,46,24.39,0.0078
44,47,24.14,0.0071
44,48,23.88,0.0076
44,49,23.67,0.0054
45,1,1.79,0.02
45,2,3.57,0.0143
45,3,5.4,0.0
45,4,7.2,0.0
45,5,9.0,0.0
45,6,10.8,0.0008
